cell_run_id,accepted_attempt_id,execution_order,policy,condition,seed,tp,fp,fn,tn,precision,recall,f1,fpr,cumulative_reward,mean_reward,p50_e2e,p95_e2e,p99_e2e,max_e2e,mean_controller,p95_controller,p99_controller,mean_detector,switch_count,switch_rate,switch_cost,latency_violations,thermal_violations,safe_set_mean,mean_temperature,max_temperature,mean_power_W,peak_power_W,total_energy_J,total_energy_Wh,J_per_window,J_per_1000_records,J_per_correct_attack,action_composition
pi4b8_formal_21_threshold_n16_B2_s5102,pi4b8_formal_21_threshold_n16_B2_s5102,21,Threshold,n16/B2,5102,372,11,18,199,0.9712793733681462,0.9538461538461539,0.9624838292367399,0.05238095238095238,361.0,0.6016666666666667,3.6851985059911385,3.8161740521900356,4.750556214421519,9.277069009840488,3.734788669680711,3.8161740521900356,4.750556214421519,0.2875427936669439,2,0.0033333333333333335,0.0,0,0,4.0,38.92570833333333,40.407,2.841971559904,2.841971559904,170.52732431411815,0.04736870119836615,0.2842122071901969,284.2122071901969,0.4584067857906402,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_22_fssql_r_n16_B2_s5102,pi4b8_formal_22_fssql_r_n16_B2_s5102,22,FSSQL-R,n16/B2,5102,390,199,0,11,0.6621392190152802,1.0,0.7967313585291114,0.9476190476190476,191.0,0.31833333333333336,3.8811020058346912,4.108864146110135,5.056208716414402,6.238299974938855,3.921992072088566,4.108864146110135,5.056208716414402,0.42482780355688493,22,0.03666666666666667,0.0,0,0,4.0,38.91353333333333,40.407,3.06978003453,3.06978003453,184.2015904792553,0.051167108466459804,0.3070026507987588,307.0026507987588,0.47231177045962897,"{""fisvdd_revision"": 588, ""lucid_revision"": 11, ""oi_svdd_as_elm_revision"": 1}"
pi4b8_formal_23_safe_greedy_n16_B0_s5102,pi4b8_formal_23_safe_greedy_n16_B0_s5102,23,Safe-Greedy,n16/B0,5102,413,187,0,0,0.6883333333333334,1.0,0.8153998025666337,1.0,226.0,0.37666666666666665,3.8448239938588813,3.988397253851872,4.940770411340053,5.6047330144792795,3.8792351436859462,3.988397253851872,4.940770411340053,0.4271129734115675,0,0.0,0.0,0,0,4.0,38.92733166666666,40.894,2.8777494809959996,2.8777494809959996,172.6775851523375,0.04796599587564931,0.28779597525389583,287.79597525389585,0.4181055330565073,"{""fisvdd_revision"": 600}"
pi4b8_formal_24_safe_greedy_n16_B2_s5102,pi4b8_formal_24_safe_greedy_n16_B2_s5102,24,Safe-Greedy,n16/B2,5102,390,210,0,0,0.65,1.0,0.787878787878788,1.0,180.0,0.3,3.838887991150841,3.9516331467893906,5.261531407886647,9.23789999797009,3.896433667590221,3.9516331467893906,5.261531407886647,0.42351084368419833,0,0.0,0.0,0,0,4.0,38.869703333333334,40.407,2.741163898536,2.741163898536,164.48388785946753,0.04568996884985209,0.27413981309911256,274.13981309911253,0.4217535586140193,"{""fisvdd_revision"": 600}"
pi4b8_formal_25_static_light_n16_B2_s5103,pi4b8_formal_25_static_light_n16_B2_s5103,25,Static-Light,n16/B2,5103,404,42,11,143,0.905829596412556,0.9734939759036144,0.9384436701509873,0.22702702702702704,362.0,0.6033333333333334,4.0184215031331405,4.153414840402547,5.379055728553793,6.303886999376118,4.061299810176327,4.153414840402547,5.379055728553793,0.6180532717553433,0,0.0,0.0,0,0,4.0,38.91028666666667,40.894,2.7710585073739997,2.7710585073739997,166.2847568407805,0.04619021023355013,0.2771412614013008,277.1412614013008,0.41159593277420914,"{""lucid_revision"": 600}"
pi4b8_formal_26_fssql_r_n16_B1_s5103,pi4b8_formal_26_fssql_r_n16_B1_s5103,26,FSSQL-R,n16/B1,5103,397,8,23,172,0.980246913580247,0.9452380952380952,0.9624242424242424,0.044444444444444446,389.0,0.6483333333333333,3.7099809997016564,3.858183878764976,4.500278528430496,6.194128014612943,3.748203582702748,3.858183878764976,4.500278528430496,0.2859428955707699,19,0.03166666666666667,0.0,0,0,4.0,38.96061,40.407,2.7467388985800003,2.74673889858,164.81840282680167,0.04578288967411158,0.27469733804466945,274.69733804466944,0.4151597048534047,"{""fisvdd_revision"": 1, ""lucid_revision"": 1, ""oi_svdd_as_elm_revision"": 10, ""tinydl_revision"": 588}"
pi4b8_formal_27_safe_greedy_n16_B0_s5103,pi4b8_formal_27_safe_greedy_n16_B0_s5103,27,Safe-Greedy,n16/B0,5103,407,193,0,0,0.6783333333333333,1.0,0.8083416087388282,1.0,214.0,0.3566666666666667,3.816042997641489,3.9477966507547535,4.920909571228546,6.102424988057464,3.8551548776740674,3.9477966507547535,4.920909571228546,0.42501493968302384,0,0.0,0.0,0,0,4.0,38.972785,40.407,2.73755844043,2.73755844043,164.2643898165968,0.04562899717127689,0.2737739830276613,273.77398302766136,0.4035980093773877,"{""fisvdd_revision"": 600}"
pi4b8_formal_28_threshold_n16_B2_s5103,pi4b8_formal_28_threshold_n16_B2_s5103,28,Threshold,n16/B2,5103,392,7,23,178,0.9824561403508771,0.944578313253012,0.9631449631449632,0.03783783783783784,385.0,0.6416666666666667,3.683442992041819,3.823457399266772,4.557681024016346,5.1585870096459985,3.712247029519252,3.823457399266772,4.557681024016346,0.28710525895197253,2,0.0033333333333333335,0.0,0,0,4.0,38.953305,40.407,2.919388946784,2.919388946784,175.18934406377733,0.04866370668438259,0.29198224010629553,291.98224010629554,0.446911591999432,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_29_static_light_n16_B1_s5103,pi4b8_formal_29_static_light_n16_B1_s5103,29,Static-Light,n16/B1,5103,410,41,10,139,0.9090909090909091,0.9761904761904762,0.941446613088404,0.22777777777777777,369.0,0.615,4.031973992823623,4.137158936646301,5.839098803699014,8.775380993029103,4.089695849785737,4.137158936646301,5.839098803699014,0.6228531781137766,0,0.0,0.0,0,0,4.0,38.93788333333333,40.894,2.94410855532,2.94410855532,176.66058309327698,0.04907238419257694,0.29443430515546165,294.43430515546163,0.43087947095921214,"{""lucid_revision"": 600}"
pi4b8_formal_30_fssql_r_n16_B0_s5103,pi4b8_formal_30_fssql_r_n16_B0_s5103,30,FSSQL-R,n16/B0,5103,374,13,33,180,0.9664082687338501,0.918918918918919,0.9420654911838791,0.06735751295336788,361.0,0.6016666666666667,3.6999695003032684,3.8734367117285724,5.29105085210176,8.90978699317202,3.761291658253564,3.8734367117285724,5.29105085210176,0.28654798477267224,17,0.028333333333333332,0.0,0,0,4.0,38.919215,40.407,2.7444236127000003,2.7444236127000003,164.68008593399725,0.04574446831499924,0.2744668098899954,274.4668098899954,0.4403210853850194,"{""fisvdd_revision"": 1, ""lucid_revision"": 1, ""oi_svdd_as_elm_revision"": 9, ""tinydl_revision"": 589}"
pi4b8_formal_31_safe_greedy_n16_B2_s5103,pi4b8_formal_31_safe_greedy_n16_B2_s5103,31,Safe-Greedy,n16/B2,5103,415,185,0,0,0.6916666666666667,1.0,0.8177339901477833,1.0,230.0,0.38333333333333336,3.829707988188602,3.9480633524362916,5.077015771530568,9.590423986082897,3.8722471211804077,3.9480633524362916,5.077015771530568,0.42504967854862724,0,0.0,0.0,0,0,4.0,38.96061,40.407,2.854357269552,2.854357269552,171.27419503023145,0.047576165286175406,0.2854569917170524,285.45699171705246,0.41270890368730473,"{""fisvdd_revision"": 600}"
pi4b8_formal_32_fssql_r_n16_B2_s5103,pi4b8_formal_32_fssql_r_n16_B2_s5103,32,FSSQL-R,n16/B2,5103,392,7,23,178,0.9824561403508771,0.944578313253012,0.9631449631449632,0.03783783783783784,385.0,0.6416666666666667,3.7193765019765124,3.8606000394793227,4.864763355581087,5.398191977292299,3.7606326979099927,3.8606000394793227,4.864763355581087,0.28592921706149355,15,0.025,0.0,0,0,4.0,39.05719833333333,40.894,2.8352675109879995,2.8352675109879995,170.13634160563046,0.04726009489045291,0.28356056934271745,283.56056934271743,0.4340212796062002,"{""fisvdd_revision"": 1, ""lucid_revision"": 1, ""oi_svdd_as_elm_revision"": 7, ""tinydl_revision"": 591}"
pi4b8_formal_33_threshold_n16_B0_s5103,pi4b8_formal_33_threshold_n16_B0_s5103,33,Threshold,n16/B0,5103,374,12,33,181,0.9689119170984456,0.918918918918919,0.9432534678436317,0.06217616580310881,362.0,0.6033333333333334,3.703042501001619,3.8425097838626243,4.832802382006776,5.4697649902664125,3.7370671608368866,3.8425097838626243,4.832802382006776,0.32675565050643246,4,0.006666666666666667,0.0,0,0,4.0,38.93463666666666,40.407,3.1333444057019997,3.1333444057019997,187.92367402492417,0.05220102056247893,0.31320612337487364,313.20612337487364,0.5024697166441823,"{""lucid_revision"": 2, ""tinydl_revision"": 598}"
pi4b8_formal_34_safe_greedy_n16_B1_s5103,pi4b8_formal_34_safe_greedy_n16_B1_s5103,34,Safe-Greedy,n16/B1,5103,420,180,0,0,0.7,1.0,0.8235294117647058,1.0,240.0,0.4,3.850595996482298,3.9912923617521296,4.9517962930258355,6.309029005933553,3.8866148595601167,3.9912923617521296,4.9517962930258355,0.42407515390853706,0,0.0,0.0,0,0,4.0,38.958175,40.407,2.7710753965799997,2.7710753965799997,166.27654033325703,0.04618792787034918,0.27712756722209503,277.127567222095,0.3958965246029929,"{""fisvdd_revision"": 600}"
pi4b8_formal_35_threshold_n16_B1_s5103,pi4b8_formal_35_threshold_n16_B1_s5103,35,Threshold,n16/B1,5103,397,8,23,172,0.980246913580247,0.9452380952380952,0.9624242424242424,0.044444444444444446,389.0,0.6483333333333333,3.6974684917367995,3.8416156923631206,5.18880735267885,7.666951016290113,3.7535205947157615,3.8416156923631206,5.18880735267885,0.3184013019199483,0,0.0,0.0,0,0,4.0,38.847788333333334,40.407,2.7409249176480004,2.7409249176480004,164.48262427597973,0.04568961785443881,0.2741377071266329,274.1377071266329,0.41431391505284565,"{""tinydl_revision"": 600}"
pi4b8_formal_36_static_light_n16_B0_s5103,pi4b8_formal_36_static_light_n16_B0_s5103,36,Static-Light,n16/B0,5103,399,50,8,143,0.888641425389755,0.9803439803439803,0.9322429906542056,0.25906735751295334,349.0,0.5816666666666667,3.9927974867168814,4.12903358519543,5.485631301125977,9.583753999322653,4.052839206997305,4.12903358519543,5.485631301125977,0.6167099154360282,0,0.0,0.0,0,0,4.0,38.80882833333333,40.407,2.745088570944,2.745088570944,164.7185776105002,0.045755160447361165,0.274530962684167,274.53096268416704,0.41282851531453685,"{""lucid_revision"": 600}"
pi4b8_formal_37_threshold_n16_B0_s5104,pi4b8_formal_37_threshold_n16_B0_s5104,37,Threshold,n16/B0,5104,388,15,19,178,0.9627791563275434,0.9533169533169533,0.9580246913580247,0.07772020725388601,373.0,0.6216666666666667,3.697366497362964,3.8356203644070774,4.549177027365656,9.015892021125183,3.7415870781599856,3.8356203644070774,4.549177027365656,0.28722176677547395,2,0.0033333333333333335,0.0,0,0,4.0,38.961421666666666,40.894,3.0932050135,3.0932050135,185.61493005139926,0.05155970279205535,0.3093582167523321,309.35821675233205,0.47838899497783316,"{""lucid_revision"": 1, ""tinydl_revision"": 599}"
pi4b8_formal_38_safe_greedy_n16_B1_s5104,pi4b8_formal_38_safe_greedy_n16_B1_s5104,38,Safe-Greedy,n16/B1,5104,398,202,0,0,0.6633333333333333,1.0,0.7975951903807615,1.0,196.0,0.32666666666666666,3.8488359859911725,3.9542941245599645,4.669534696731713,5.93597799888812,3.8618441630872744,3.9542941245599645,4.669534696731713,0.42546354942411807,0,0.0,0.0,0,0,4.0,38.81207500000001,40.407,2.828501058284,2.828501058284,169.71647005193725,0.047143463903315905,0.2828607834198954,282.8607834198954,0.426423291587782,"{""fisvdd_revision"": 600}"
pi4b8_formal_39_static_light_n16_B1_s5104,pi4b8_formal_39_static_light_n16_B1_s5104,39,Static-Light,n16/B1,5104,388,37,10,165,0.9129411764705883,0.9748743718592965,0.9428918590522478,0.18316831683168316,351.0,0.585,4.010685515822843,4.145049161161296,5.393678368709516,6.800113013014197,4.052654234304403,4.145049161161296,5.393678368709516,0.6178054169868119,0,0.0,0.0,0,0,4.0,38.855905,40.407,2.785546481304,2.785546481304,167.15507557045092,0.046431965436236365,0.2785917926174182,278.5917926174182,0.4308120504393065,"{""lucid_revision"": 600}"
pi4b8_formal_40_safe_greedy_n16_B2_s5104,pi4b8_formal_40_safe_greedy_n16_B2_s5104_attempt2,40,Safe-Greedy,n16/B2,5104,430,170,0,0,0.7166666666666667,1.0,0.8349514563106796,1.0,260.0,0.43333333333333335,3.8047669950174168,5.2767248620511955,6.320065573381724,14.752630988368765,4.065268180711428,5.2767248620511955,6.320065573381724,0.4432787936821114,0,0.0,0.0,0,0,4.0,34.86899833333334,37.972,3.0497328428808474,3.887762656932,183.02964210321696,0.0508415672508936,0.3050494035053616,305.0494035053616,0.4256503304725976,"{""fisvdd_revision"": 600}"
pi4b8_formal_41_static_light_n16_B0_s5104,pi4b8_formal_41_static_light_n16_B0_s5104,41,Static-Light,n16/B0,5104,397,36,10,157,0.9168591224018475,0.9754299754299754,0.9452380952380952,0.18652849740932642,361.0,0.6016666666666667,4.000454006018117,4.1279439043137245,5.276885888597461,9.962209995137528,4.051936496446918,4.1279439043137245,5.276885888597461,0.6200399866793305,0,0.0,0.0,0,0,4.0,38.43870833333333,40.407,2.899789702348012,3.854278975794,174.02517546254512,0.04834032651737365,0.29004195910424185,290.04195910424187,0.4383505679157308,"{""lucid_revision"": 600}"
