policy,seed,window,epsilon,learning_rate,rolling_reward,rolling_utility,td_abs_mean,q_update_abs_mean,visited_states,visited_state_actions,greedy_policy_change_rate
Unshielded-Q,3103,5300,0.050000000,0.014185369,0.589662369,0.687897508,0.389681067,0.007493785,35,124,0.000000000
Unshielded-Q,3103,5400,0.050000000,0.013435336,0.521181639,0.619219384,0.414792163,0.008027390,35,124,0.000000000
Unshielded-Q,3103,5500,0.050000000,0.014038838,0.580302840,0.644790231,0.390155737,0.006990935,35,124,0.000000000
Unshielded-Q,3103,5600,0.050000000,0.022761852,0.546302511,0.609702973,0.366576509,0.005691674,35,124,0.000781250
Unshielded-Q,3103,5700,0.050000000,0.006600177,0.591259537,0.652904271,0.373116572,0.005592080,35,124,0.000000000
Unshielded-Q,3103,5800,0.050000000,0.006404071,0.526514596,0.592070212,0.380966103,0.005311411,35,124,0.000000000
Unshielded-Q,3103,5900,0.050000000,0.011642821,0.525350084,0.622051118,0.402106556,0.005693660,35,124,0.000000000
Unshielded-Q,3103,6000,0.050000000,0.016543606,0.552936715,0.650502064,0.379669398,0.007098257,35,124,0.000000000
Unshielded-Q,3104,100,0.979100000,0.160941640,0.497016476,0.592982308,0.784153378,0.237134411,14,37,0.010156250
Unshielded-Q,3104,200,0.957988889,0.101876142,0.361432722,0.450618607,0.963532693,0.207530348,15,46,0.003906250
Unshielded-Q,3104,300,0.936877778,0.120534855,0.405136642,0.497157694,0.747952362,0.133677140,16,49,0.004687500
Unshielded-Q,3104,400,0.915766667,0.311129489,0.500317446,0.591023670,0.694436801,0.150091362,28,80,0.011718750
Unshielded-Q,3104,500,0.894655556,0.251188643,0.463325515,0.558623121,0.694324221,0.166518979,30,96,0.008593750
Unshielded-Q,3104,600,0.873544444,0.176537307,0.490810395,0.585338732,0.679938342,0.129261643,31,98,0.003125000
Unshielded-Q,3104,700,0.852433333,0.196945129,0.438399873,0.530507889,0.710144776,0.136158793,31,102,0.006250000
Unshielded-Q,3104,800,0.831322222,0.094505676,0.497832977,0.591740489,0.673606163,0.104583659,32,103,0.003125000
Unshielded-Q,3104,900,0.810211111,0.059588766,0.406690618,0.498988535,0.654483052,0.098551411,32,105,0.004687500
Unshielded-Q,3104,1000,0.789100000,0.087486935,0.450695769,0.544144094,0.595564148,0.064599697,32,105,0.006250000
Unshielded-Q,3104,1100,0.767988889,0.066332643,0.464819084,0.557555764,0.600172871,0.072902537,33,107,0.003125000
Unshielded-Q,3104,1200,0.746877778,0.062350494,0.497408117,0.590302592,0.602748620,0.068636264,33,109,0.003906250
Unshielded-Q,3104,1300,0.725766667,0.160941640,0.482432469,0.575343805,0.599589323,0.071202513,33,111,0.003906250
Unshielded-Q,3104,1400,0.704655556,0.046384205,0.488443280,0.575990593,0.561594875,0.053663026,33,111,0.003906250
Unshielded-Q,3104,1500,0.683544444,0.064660232,0.419778229,0.511079516,0.541503924,0.049055248,33,111,0.005468750
Unshielded-Q,3104,1600,0.662433333,0.251188643,0.447733913,0.536992770,0.546788721,0.044753618,33,111,0.002343750
Unshielded-Q,3104,1700,0.641322222,0.107728270,0.522220314,0.614339505,0.510890842,0.044507884,33,112,0.004687500
Unshielded-Q,3104,1800,0.620211111,0.072681477,0.453907375,0.546923403,0.520975853,0.041997178,33,112,0.000781250
Unshielded-Q,3104,1900,0.599100000,0.132605397,0.462256443,0.550129954,0.470663809,0.033709328,33,112,0.004687500
Unshielded-Q,3104,2000,0.577988889,0.037314124,0.610880870,0.695615147,0.477816485,0.028399016,33,112,0.002343750
Unshielded-Q,3104,2100,0.556877778,0.031398580,0.525373047,0.608880918,0.496618827,0.029600371,33,112,0.002343750
Unshielded-Q,3104,2200,0.535766667,0.053905613,0.482328562,0.573171620,0.517856139,0.029976380,33,112,0.003125000
Unshielded-Q,3104,2300,0.514655556,0.044946140,0.548641539,0.642327376,0.495504418,0.029511814,33,112,0.002343750
Unshielded-Q,3104,2400,0.493544444,0.034538416,0.530670972,0.623976017,0.576113405,0.046595203,33,114,0.000781250
Unshielded-Q,3104,2500,0.472433333,0.027546737,0.448170366,0.541665798,0.534272965,0.045688342,34,115,0.003125000
Unshielded-Q,3104,2600,0.451322222,0.021641623,0.581499847,0.669203933,0.478929709,0.029355090,34,115,0.001562500
Unshielded-Q,3104,2700,0.430211111,0.039859966,0.497619461,0.582393838,0.483581594,0.024221506,34,115,0.001562500
Unshielded-Q,3104,2800,0.409100000,0.030384352,0.470516906,0.561646354,0.487239918,0.025351970,34,115,0.004687500
Unshielded-Q,3104,2900,0.387988889,0.038581978,0.487709833,0.582779177,0.483137159,0.028059905,34,115,0.003125000
Unshielded-Q,3104,3000,0.366877778,0.045100065,0.415899269,0.502427812,0.510815288,0.023065407,34,115,0.003906250
Unshielded-Q,3104,3100,0.345766667,0.035981221,0.523522506,0.617096524,0.528823847,0.026337129,34,115,0.002343750
Unshielded-Q,3104,3200,0.324655556,0.034387483,0.428099354,0.520962455,0.552241899,0.026745055,34,115,0.002343750
Unshielded-Q,3104,3300,0.303544444,0.029256239,0.511273102,0.603653971,0.489328301,0.022544307,34,115,0.000781250
Unshielded-Q,3104,3400,0.282433333,0.029502783,0.559501772,0.641755171,0.447402518,0.018937782,34,115,0.000781250
Unshielded-Q,3104,3500,0.261322222,0.026748180,0.520020395,0.606212035,0.430239680,0.017813035,34,115,0.000781250
Unshielded-Q,3104,3600,0.240211111,0.023409800,0.528657906,0.602427518,0.452586018,0.019050973,34,115,0.000000000
Unshielded-Q,3104,3700,0.219100000,0.090319679,0.584355763,0.669091154,0.436836258,0.016698320,34,115,0.000000000
Unshielded-Q,3104,3800,0.197988889,0.034845655,0.525622736,0.614387243,0.494673979,0.016518149,34,115,0.000000000
Unshielded-Q,3104,3900,0.176877778,0.013963678,0.502024385,0.592423867,0.457129991,0.015885090,34,115,0.000000000
Unshielded-Q,3104,4000,0.155766667,0.048886072,0.568604094,0.647627037,0.407673378,0.013253430,34,115,0.000781250
Unshielded-Q,3104,4100,0.134655556,0.016727548,0.453298216,0.529515196,0.437569014,0.013885098,34,115,0.000000000
Unshielded-Q,3104,4200,0.113544444,0.015426983,0.524700976,0.593305299,0.422707932,0.011245197,34,115,0.000000000
Unshielded-Q,3104,4300,0.092433333,0.012298929,0.537970411,0.624348006,0.418870498,0.027042001,34,116,0.000000000
Unshielded-Q,3104,4400,0.071322222,0.019597367,0.448909214,0.538516813,0.392059494,0.012132499,34,116,0.000000000
Unshielded-Q,3104,4500,0.050211111,0.036066149,0.561588534,0.643935987,0.411590680,0.011545439,34,116,0.000000000
Unshielded-Q,3104,4600,0.050000000,0.047951892,0.523307831,0.593822045,0.386415233,0.009678358,34,116,0.000000000
