device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,T_next_measured_C,T_next_hat_C,T_residual_C
pi4b8g,fit,lucid_revision,n512,B2,80,172.21262,172.21262,0.0,34.563,34.70273162876107,-0.13973162876106926
pi4b8g,fit,lucid_revision,n512,B2,81,148.118009,172.21262,-24.094610999999986,34.563,35.45493034840681,-0.8919303484068095
pi4b8g,fit,lucid_revision,n512,B2,82,158.635018,172.21262,-13.577601999999985,35.537,35.474245452425784,0.06275454757421528
pi4b8g,fit,lucid_revision,n512,B2,83,157.22673,172.21262,-14.985889999999984,35.05,36.26810893517603,-1.2181089351760335
pi4b8g,fit,lucid_revision,n512,B2,84,158.889254,172.21262,-13.323365999999993,34.076,35.87293731489519,-1.7969373148951888
pi4b8g,fit,lucid_revision,n512,B2,85,156.754053,172.21262,-15.458566999999988,35.05,35.07256600671425,-0.02256600671424991
pi4b8g,fit,lucid_revision,n512,B2,86,157.217655,172.21262,-14.99496499999998,36.024,35.86986732526572,0.15413267473427794
pi4b8g,fit,lucid_revision,n512,B2,87,156.599242,172.21262,-15.613377999999983,35.05,36.66518145979225,-1.6151814597922538
pi4b8g,fit,lucid_revision,n512,B2,88,158.124768,172.21262,-14.087851999999998,36.998,35.87153329150688,1.126466708493119
pi4b8g,fit,lucid_revision,n512,B2,89,157.290877,172.21262,-14.921742999999992,36.024,35.87000180176436,0.15399819823564087
pi4b8g,fit,lucid_revision,n512,B2,90,158.452725,172.21262,-13.759895,36.024,36.66858549005812,-0.6445854900581196
pi4b8g,fit,lucid_revision,n512,B2,91,157.88431,172.21262,-14.328309999999988,36.024,36.667541562564004,-0.6435415625640033
pi4b8g,fit,lucid_revision,n512,B2,92,156.739794,172.21262,-15.472825999999998,35.05,36.66543959178587,-1.6154395917858722
pi4b8g,fit,lucid_revision,n512,B2,93,157.576297,172.21262,-14.636322999999976,37.485,35.8705259923388,1.614474007661201
pi4b8g,fit,lucid_revision,n512,B2,94,160.320803,172.21262,-11.891816999999975,36.998,37.86669115431894,-0.8686911543189453
pi4b8g,fit,lucid_revision,n512,B2,95,158.135472,172.21262,-14.077147999999994,36.511,37.46445272259248,-0.9534527225924805
pi4b8g,fit,lucid_revision,n512,B2,96,157.452244,172.21262,-14.76037599999998,36.024,37.064972991147854,-1.0409729911478536
pi4b8g,fit,lucid_revision,n512,B2,97,158.026937,172.21262,-14.185682999999983,36.998,36.667803505416856,0.3301964945831415
pi4b8g,fit,lucid_revision,n512,B2,98,158.136416,172.21262,-14.07620399999999,36.998,37.46445445630387,-0.4664544563038717
pi4b8g,fit,lucid_revision,n512,B2,99,157.275469,172.21262,-14.937151,36.998,37.462873276630084,-0.4648732766300867
pi4b8g,fit,lucid_revision,n512,B2,100,158.16949,172.21262,-14.04312999999999,37.972,37.46451519864519,0.5074848013548134
pi4b8g,fit,lucid_revision,n512,B2,101,157.384912,172.21262,-14.827707999999973,37.485,38.25952416140098,-0.7745241614009828
pi4b8g,fit,lucid_revision,n512,B2,102,158.164527,172.21262,-14.048092999999994,37.485,37.86273102694493,-0.37773102694492877
pi4b8g,fit,lucid_revision,n512,B2,103,157.593352,172.21262,-14.619267999999977,36.998,37.8616820305489,-0.863682030548901
pi4b8g,fit,lucid_revision,n512,B2,104,157.90155,172.21262,-14.31107,36.511,37.46402311111623,-0.9530231111162237
pi4b8g,fit,lucid_revision,n512,B2,105,157.220118,172.21262,-14.992501999999973,37.972,37.06454667813096,0.9074533218690419
pi4b8g,fit,lucid_revision,n512,B2,106,157.98503,172.21262,-14.227589999999992,37.485,38.26062631331448,-0.7756263133144827
pi4b8g,fit,lucid_revision,n512,B2,107,158.129916,172.21262,-14.082703999999978,37.972,37.86266746181295,0.10933253818705424
pi4b8g,fit,lucid_revision,n512,B2,108,157.470485,172.21262,-14.74213499999999,36.511,38.2596813212357,-1.7486813212357006
pi4b8g,fit,lucid_revision,n512,B2,109,158.182193,172.21262,-14.030426999999975,37.972,37.066313585309516,0.9056864146904857
pi4b8g,fit,lucid_revision,n512,B2,110,157.828015,172.21262,-14.384604999999993,36.998,38.26033794605554,-1.2623379460555455
pi4b8g,fit,lucid_revision,n512,B2,111,158.045566,172.21262,-14.167053999999979,36.998,37.464287604949064,-0.4662876049490663
pi4b8g,fit,lucid_revision,n512,B2,112,158.314394,172.21262,-13.898225999999994,36.998,37.464781323342116,-0.4667813233421185
pi4b8g,fit,lucid_revision,n512,B2,113,158.16473,172.21262,-14.047889999999995,37.972,37.464506456625934,0.5074935433740677
pi4b8g,fit,lucid_revision,n512,B2,114,160.033678,172.21262,-12.178941999999978,37.972,38.26438877555239,-0.2923887755523893
pi4b8g,fit,lucid_revision,n512,B2,115,158.239415,172.21262,-13.973204999999979,37.485,38.26109350629072,-0.7760935062907208
pi4b8g,fit,lucid_revision,n512,B2,116,158.405374,172.21262,-13.807245999999992,37.485,37.863173356589954,-0.3781733565899543
pi4b8g,fit,lucid_revision,n512,B2,117,158.242396,172.21262,-13.970223999999973,37.972,37.86287403793169,0.10912596206831182
pi4b8g,fit,lucid_revision,n512,B2,118,157.278747,172.21262,-14.933872999999977,37.972,38.25932918315021,-0.28732918315020584
pi4b8g,fit,lucid_revision,n512,B2,119,158.076788,172.21262,-14.135831999999994,37.485,38.26079483226455,-0.7757948322645518
pi4b8g,fit,oi_svdd_as_elm_revision,n1,B0,120,2.0085,2.0085,0.0,36.998,36.15209487368214,0.8459051263178594
pi4b8g,fit,oi_svdd_as_elm_revision,n1,B0,121,1.796541,2.0085,-0.21195900000000023,36.024,36.948155484824674,-0.9241554848246736
pi4b8g,fit,oi_svdd_as_elm_revision,n1,B0,122,1.717524,2.0085,-0.2909760000000001,36.511,36.15156047918775,0.35943952081225206
