policy,seed,window,epsilon,learning_rate,rolling_reward,rolling_utility,td_abs_mean,q_update_abs_mean,visited_states,visited_state_actions,greedy_policy_change_rate
Unshielded-Q,5102,2700,0.430211111,0.057423344,0.421134566,0.509930120,0.527757591,0.030353512,38,118,0.000000000
Unshielded-Q,5102,2800,0.409100000,0.033036315,0.454458328,0.547473058,0.512077795,0.027734922,38,118,0.000781250
Unshielded-Q,5102,2900,0.387988889,0.027020595,0.494996137,0.588910895,0.523631171,0.029629419,38,118,0.000781250
Unshielded-Q,5102,3000,0.366877778,0.043621135,0.476797251,0.573957634,0.545586614,0.027860070,38,118,0.000000000
Unshielded-Q,5102,3100,0.345766667,0.028233322,0.522544761,0.606541290,0.500926173,0.033759183,38,119,0.000781250
Unshielded-Q,5102,3200,0.324655556,0.026748180,0.468112805,0.553821086,0.447667185,0.020633134,38,119,0.000781250
Unshielded-Q,5102,3300,0.303544444,0.026224653,0.463485439,0.549675827,0.448041044,0.020057515,38,119,0.002343750
Unshielded-Q,5102,3400,0.282433333,0.030330543,0.433901183,0.523972348,0.450358105,0.020532695,38,119,0.000000000
Unshielded-Q,5102,3500,0.261322222,0.066332643,0.474016505,0.571278320,0.457027054,0.036713334,38,120,0.000000000
Unshielded-Q,5102,3600,0.240211111,0.026942009,0.474970185,0.572080198,0.435075120,0.015978814,38,120,0.002343750
Unshielded-Q,5102,3700,0.219100000,0.041879442,0.590843415,0.670105168,0.477297931,0.043142964,38,122,0.001562500
Unshielded-Q,5102,3800,0.197988889,0.011458765,0.602280762,0.680241014,0.394538364,0.014102195,38,122,0.000000000
Unshielded-Q,5102,3900,0.176877778,0.010932333,0.526544313,0.608961976,0.457867164,0.035870210,38,123,0.000781250
Unshielded-Q,5102,4000,0.155766667,0.019547289,0.541137665,0.626968363,0.438573023,0.018022869,38,123,0.002343750
Unshielded-Q,5102,4100,0.134655556,0.037407722,0.511726704,0.603716029,0.422689283,0.014038595,38,123,0.000781250
Unshielded-Q,5102,4200,0.113544444,0.032126955,0.532146248,0.621820677,0.464125014,0.025682580,38,124,0.000781250
Unshielded-Q,5102,4300,0.092433333,0.009372884,0.560391544,0.631624629,0.449303200,0.017793391,38,124,0.000000000
Unshielded-Q,5102,4400,0.071322222,0.009038074,0.546100246,0.623182369,0.363323513,0.009341412,38,124,0.000781250
Unshielded-Q,5102,4500,0.050211111,0.008687118,0.555192728,0.629013113,0.460434033,0.023734178,38,125,0.001562500
Unshielded-Q,5102,4600,0.050000000,0.024109387,0.602076967,0.682803734,0.411291161,0.009839841,38,125,0.000000000
Unshielded-Q,5102,4700,0.050000000,0.041879442,0.519281535,0.616840458,0.409197498,0.015543411,38,125,0.000000000
Unshielded-Q,5102,4800,0.050000000,0.014171237,0.404326199,0.501954808,0.360852171,0.008639483,38,125,0.000000000
Unshielded-Q,5102,4900,0.050000000,0.007610609,0.565685209,0.638685504,0.383326173,0.009502023,38,125,0.000000000
Unshielded-Q,5102,5000,0.050000000,0.035320476,0.517319085,0.591726355,0.352127374,0.008515187,38,125,0.000781250
Unshielded-Q,5102,5100,0.050000000,0.019318022,0.505229707,0.577494947,0.383730231,0.007417218,38,125,0.000000000
Unshielded-Q,5102,5200,0.050000000,0.029909029,0.475937991,0.555508499,0.375945016,0.007017147,38,125,0.000000000
Unshielded-Q,5102,5300,0.050000000,0.028640111,0.566184559,0.663633615,0.343938972,0.006710898,38,125,0.000000000
Unshielded-Q,5102,5400,0.050000000,0.028640111,0.453753677,0.550115528,0.355614032,0.007634581,38,125,0.000781250
Unshielded-Q,5102,5500,0.050000000,0.011817555,0.575118249,0.650674454,0.353632358,0.006928427,38,125,0.000000000
Unshielded-Q,5102,5600,0.050000000,0.006385474,0.578436880,0.649792600,0.387183905,0.006550142,38,125,0.000000000
Unshielded-Q,5102,5700,0.050000000,0.006243298,0.536944541,0.612669356,0.345004702,0.006804393,38,125,0.000000000
Unshielded-Q,5102,5800,0.050000000,0.019905191,0.555043142,0.638318149,0.375752551,0.008253668,38,125,0.000000000
Unshielded-Q,5102,5900,0.050000000,0.022253125,0.605943417,0.700850862,0.364450367,0.006772677,38,125,0.000000000
Unshielded-Q,5102,6000,0.050000000,0.010890164,0.547154393,0.640118410,0.377224279,0.008771626,38,125,0.000000000
Unshielded-Q,5103,100,0.979100000,0.500000000,0.480530081,0.580193992,0.814156483,0.253368605,14,35,0.008593750
Unshielded-Q,5103,200,0.957988889,0.267580521,0.451322710,0.549489168,0.992194132,0.232665362,16,48,0.007031250
Unshielded-Q,5103,300,0.936877778,0.500000000,0.403442086,0.500301474,0.772278801,0.137162420,17,53,0.003125000
Unshielded-Q,5103,400,0.915766667,0.311129489,0.466080636,0.563790802,0.747148546,0.191285878,28,86,0.013281250
Unshielded-Q,5103,500,0.894655556,0.165722701,0.477538985,0.576811201,0.745249043,0.161929545,28,93,0.010937500
Unshielded-Q,5103,600,0.873544444,0.500000000,0.368306271,0.467954705,0.675520912,0.125546870,31,98,0.008593750
Unshielded-Q,5103,700,0.852433333,0.060585645,0.473402188,0.572533077,0.653811836,0.102385332,31,100,0.004687500
Unshielded-Q,5103,800,0.831322222,0.087486935,0.498607826,0.596428492,0.616696315,0.095010857,31,102,0.007812500
Unshielded-Q,5103,900,0.810211111,0.055189186,0.484285052,0.580851719,0.600654594,0.078083274,31,102,0.005468750
Unshielded-Q,5103,1000,0.789100000,0.225160006,0.548336907,0.650336500,0.610280204,0.087594437,32,106,0.006250000
Unshielded-Q,5103,1100,0.767988889,0.080960585,0.448676598,0.550195204,0.631926881,0.082434362,33,108,0.004687500
Unshielded-Q,5103,1200,0.746877778,0.144955933,0.488269179,0.587508885,0.639759770,0.072289253,33,110,0.003125000
Unshielded-Q,5103,1300,0.725766667,0.176537307,0.455794771,0.550673817,0.629239454,0.082885134,33,112,0.007031250
Unshielded-Q,5103,1400,0.704655556,0.065067757,0.512134214,0.604263840,0.591289462,0.060934088,33,113,0.004687500
Unshielded-Q,5103,1500,0.683544444,0.042264840,0.560063091,0.653717244,0.542026823,0.049162307,33,113,0.003906250
Unshielded-Q,5103,1600,0.662433333,0.047591348,0.455410253,0.554324457,0.537717544,0.048416130,33,114,0.000781250
Unshielded-Q,5103,1700,0.641322222,0.112753451,0.456101589,0.556562565,0.575125681,0.057300488,33,115,0.003125000
Unshielded-Q,5103,1800,0.620211111,0.156511550,0.469206981,0.569662032,0.539679766,0.044039352,33,115,0.000781250
Unshielded-Q,5103,1900,0.599100000,0.035240142,0.411791805,0.504609053,0.545155030,0.051754675,34,116,0.003125000
Unshielded-Q,5103,2000,0.577988889,0.034845655,0.480652288,0.575877280,0.509586714,0.033577070,34,116,0.003125000
Unshielded-Q,5103,2100,0.556877778,0.024742058,0.578479598,0.666410487,0.488068187,0.030268618,34,116,0.000781250
Unshielded-Q,5103,2200,0.535766667,0.088404645,0.465790540,0.562088214,0.548825828,0.032243119,34,116,0.001562500
Unshielded-Q,5103,2300,0.514655556,0.132605397,0.571242661,0.668698341,0.532258402,0.029999062,34,116,0.000000000
Unshielded-Q,5103,2400,0.493544444,0.196945129,0.549122268,0.646318864,0.517032947,0.032112134,34,116,0.000781250
Unshielded-Q,5103,2500,0.472433333,0.079523347,0.557668990,0.642357597,0.499420500,0.029796747,34,116,0.000781250
Unshielded-Q,5103,2600,0.451322222,0.043906553,0.556072511,0.643550936,0.516064921,0.028389671,34,116,0.001562500
Unshielded-Q,5103,2700,0.430211111,0.027464014,0.473439564,0.561154410,0.492791898,0.023355571,34,116,0.000000000
Unshielded-Q,5103,2800,0.409100000,0.031339855,0.468687209,0.559669080,0.500973964,0.023666303,34,116,0.000000000
Unshielded-Q,5103,2900,0.387988889,0.057423344,0.480772815,0.571532439,0.472748906,0.024774008,34,116,0.000781250
Unshielded-Q,5103,3000,0.366877778,0.065482204,0.478540393,0.563223907,0.545860477,0.033135730,35,117,0.000781250
Unshielded-Q,5103,3100,0.345766667,0.032638279,0.453688062,0.536968165,0.458664332,0.024239788,35,117,0.000781250
Unshielded-Q,5103,3200,0.324655556,0.014394585,0.495854118,0.579041858,0.488431181,0.032615342,36,118,0.000781250
Unshielded-Q,5103,3300,0.303544444,0.013692716,0.564280325,0.650185330,0.508689003,0.034470632,36,119,0.000000000
Unshielded-Q,5103,3400,0.282433333,0.024315452,0.518809632,0.608247945,0.449551504,0.022098540,36,119,0.000000000
Unshielded-Q,5103,3500,0.261322222,0.037982754,0.554492985,0.639716645,0.439932901,0.016571895,36,119,0.000000000
Unshielded-Q,5103,3600,0.240211111,0.058325314,0.541669483,0.631863007,0.461787728,0.017180998,36,119,0.000781250
Unshielded-Q,5103,3700,0.219100000,0.011817555,0.489095063,0.571121802,0.527058303,0.053816701,36,121,0.000781250
Unshielded-Q,5103,3800,0.197988889,0.011383352,0.535575433,0.618829237,0.455470085,0.018910486,36,121,0.000000000
Unshielded-Q,5103,3900,0.176877778,0.019350336,0.527135668,0.607967499,0.420905809,0.016609613,36,121,0.000781250
Unshielded-Q,5103,4000,0.155766667,0.017313845,0.525273299,0.605475968,0.427076643,0.013335164,36,121,0.000000000
Unshielded-Q,5103,4100,0.134655556,0.028967522,0.506596732,0.584811398,0.429950074,0.016230954,36,121,0.000000000
Unshielded-Q,5103,4200,0.113544444,0.015525149,0.507370679,0.590620220,0.442704426,0.014362178,36,121,0.000781250
Unshielded-Q,5103,4300,0.092433333,0.009585335,0.485009993,0.562453055,0.410824803,0.013727243,36,121,0.000781250
Unshielded-Q,5103,4400,0.071322222,0.009253110,0.567470731,0.645247095,0.415365964,0.011249649,36,121,0.000000000
Unshielded-Q,5103,4500,0.050211111,0.008868057,0.581980186,0.651628549,0.417629227,0.008564856,36,121,0.000000000
Unshielded-Q,5103,4600,0.050000000,0.013423109,0.512878165,0.585877347,0.405892045,0.010030423,36,121,0.000000000
Unshielded-Q,5103,4700,0.050000000,0.051561219,0.524951427,0.599035015,0.403981804,0.008642229,36,121,0.000000000
Unshielded-Q,5103,4800,0.050000000,0.020373445,0.531052817,0.600272717,0.416279478,0.007904260,36,121,0.000000000
Unshielded-Q,5103,4900,0.050000000,0.007796678,0.512284572,0.582401927,0.433053824,0.025702617,37,122,0.000000000
Unshielded-Q,5103,5000,0.050000000,0.007529747,0.537450492,0.608534293,0.408157021,0.007730568,37,122,0.000000000
Unshielded-Q,5103,5100,0.050000000,0.019530672,0.548433503,0.617950858,0.433301836,0.007499364,37,122,0.000000000
Unshielded-Q,5103,5200,0.050000000,0.010779801,0.543439233,0.615089480,0.460199006,0.006774632,37,122,0.000000000
Unshielded-Q,5103,5300,0.050000000,0.017194575,0.577807435,0.646918579,0.424001790,0.006111080,37,122,0.000000000
Unshielded-Q,5103,5400,0.050000000,0.024167787,0.594890170,0.667849588,0.420024414,0.006814028,37,122,0.000000000
Unshielded-Q,5103,5500,0.050000000,0.006621420,0.549713299,0.620965709,0.384063205,0.005747171,37,122,0.000000000
Unshielded-Q,5103,5600,0.050000000,0.006479053,0.509635161,0.583289455,0.360180199,0.006202158,37,122,0.000000000
Unshielded-Q,5103,5700,0.050000000,0.006341258,0.433205132,0.505486770,0.353181796,0.004943086,37,122,0.000000000
Unshielded-Q,5103,5800,0.050000000,0.016575675,0.556994808,0.629851680,0.383019607,0.006110853,37,122,0.000781250
Unshielded-Q,5103,5900,0.050000000,0.015261255,0.570516938,0.645422779,0.398842618,0.019355176,37,123,0.001562500
Unshielded-Q,5103,6000,0.050000000,0.008465298,0.541600645,0.610420545,0.382960078,0.009087369,37,123,0.000000000
Unshielded-Q,5104,100,0.979100000,0.225160006,0.480906651,0.578954035,0.988668829,0.336389173,15,38,0.010156250
Unshielded-Q,5104,200,0.957988889,0.094505676,0.428722557,0.523012488,0.811025269,0.176626286,16,46,0.003906250
Unshielded-Q,5104,300,0.936877778,0.267580521,0.500372288,0.601703244,0.723190182,0.121682607,16,49,0.003906250
Unshielded-Q,5104,400,0.915766667,0.500000000,0.479406791,0.574712206,0.756744157,0.182592542,29,83,0.013281250
Unshielded-Q,5104,500,0.894655556,0.182696677,0.401390620,0.498093396,0.735825743,0.175354475,31,93,0.008593750
Unshielded-Q,5104,600,0.873544444,0.125000000,0.484659087,0.581303892,0.700888072,0.135717483,31,96,0.006250000
Unshielded-Q,5104,700,0.852433333,0.068594366,0.431397642,0.529639512,0.734520306,0.138206135,33,101,0.007812500
Unshielded-Q,5104,800,0.831322222,0.044946140,0.485798482,0.587349944,0.662756895,0.110068711,33,103,0.004687500
Unshielded-Q,5104,900,0.810211111,0.076842326,0.426138283,0.525610845,0.612727608,0.082565956,33,104,0.005468750
Unshielded-Q,5104,1000,0.789100000,0.072134995,0.446353353,0.542293034,0.638850079,0.083838563,33,106,0.007812500
Unshielded-Q,5104,1100,0.767988889,0.189464571,0.445486363,0.544743934,0.585447477,0.061683700,33,106,0.003906250
Unshielded-Q,5104,1200,0.746877778,0.500000000,0.527571448,0.624748026,0.567790398,0.055235118,36,110,0.005468750
Unshielded-Q,5104,1300,0.725766667,0.035482621,0.437953784,0.540214696,0.644138360,0.078719801,36,113,0.003906250
Unshielded-Q,5104,1400,0.704655556,0.148550205,0.495949212,0.596753969,0.562755769,0.049162339,36,113,0.003906250
Unshielded-Q,5104,1500,0.683544444,0.084055278,0.514812828,0.613200772,0.565319872,0.046297024,36,113,0.002343750
Unshielded-Q,5104,1600,0.662433333,0.120534855,0.450148911,0.549125905,0.595645905,0.050195006,36,113,0.002343750
Unshielded-Q,5104,1700,0.641322222,0.098006585,0.461486046,0.558493796,0.574929423,0.040927692,36,113,0.000000000
Unshielded-Q,5104,1800,0.620211111,0.380730788,0.515424737,0.612446367,0.632062320,0.057689403,42,121,0.004687500
Unshielded-Q,5104,1900,0.599100000,0.041503275,0.445901069,0.547948586,0.539529155,0.042052892,42,121,0.001562500
Unshielded-Q,5104,2000,0.577988889,0.039639134,0.504791948,0.606551850,0.545355277,0.045881150,42,121,0.002343750
Unshielded-Q,5104,2100,0.556877778,0.039421535,0.536598061,0.639080947,0.522062854,0.034037550,42,121,0.000781250
Unshielded-Q,5104,2200,0.535766667,0.043202143,0.537028984,0.632499864,0.559761825,0.042560814,43,122,0.002343750
Unshielded-Q,5104,2300,0.514655556,0.040542659,0.389972556,0.484219785,0.531256356,0.036575580,43,122,0.002343750
Unshielded-Q,5104,2400,0.493544444,0.251188643,0.480339029,0.571254479,0.567848141,0.045104576,44,125,0.003125000
Unshielded-Q,5104,2500,0.472433333,0.034614547,0.464424728,0.567042382,0.591526557,0.058858702,44,127,0.003125000
Unshielded-Q,5104,2600,0.451322222,0.061628273,0.423695711,0.527763729,0.546195279,0.041220650,44,128,0.000781250
Unshielded-Q,5104,2700,0.430211111,0.022323944,0.454675250,0.555101204,0.498053402,0.034812276,44,128,0.001562500
Unshielded-Q,5104,2800,0.409100000,0.020971982,0.505157872,0.596984657,0.484297538,0.025139082,44,128,0.002343750
Unshielded-Q,5104,2900,0.387988889,0.104693309,0.515640363,0.600577356,0.475057156,0.022384284,44,128,0.002343750
Unshielded-Q,5104,3000,0.366877778,0.037982754,0.481553195,0.567673450,0.488989939,0.022689794,44,128,0.001562500
Unshielded-Q,5104,3100,0.345766667,0.022588851,0.417531228,0.521118468,0.454287121,0.025573613,45,129,0.001562500
Unshielded-Q,5104,3200,0.324655556,0.053905613,0.510817095,0.614237889,0.418850014,0.021088317,45,129,0.001562500
Unshielded-Q,5104,3300,0.303544444,0.031223277,0.440493673,0.541385268,0.443263523,0.018846839,45,129,0.000781250
Unshielded-Q,5104,3400,0.282433333,0.015167452,0.470006282,0.556762254,0.432548607,0.017016525,45,129,0.000781250
Unshielded-Q,5104,3500,0.261322222,0.057423344,0.559939601,0.647576847,0.432222301,0.017409880,45,129,0.001562500
Unshielded-Q,5104,3600,0.240211111,0.013770565,0.594297533,0.680727170,0.440965029,0.016198262,45,129,0.002343750
Unshielded-Q,5104,3700,0.219100000,0.022044209,0.505791679,0.608590835,0.417047737,0.015278230,45,129,0.001562500
Unshielded-Q,5104,3800,0.197988889,0.020852483,0.489206223,0.593626519,0.458205609,0.015420210,45,129,0.000781250
Unshielded-Q,5104,3900,0.176877778,0.034238296,0.549349905,0.650291719,0.426532917,0.014787568,45,129,0.000000000
Unshielded-Q,5104,4000,0.155766667,0.011994935,0.538459965,0.625593547,0.428407180,0.013722381,45,129,0.000000000
Unshielded-Q,5104,4100,0.134655556,0.027798948,0.555933450,0.642814083,0.444266322,0.013862426,45,129,0.000000000
Unshielded-Q,5104,4200,0.113544444,0.011259281,0.565285539,0.651639490,0.475639850,0.013818826,45,129,0.000781250
Unshielded-Q,5104,4300,0.092433333,0.017054305,0.442583439,0.544422010,0.452523817,0.031092274,46,130,0.000781250
Unshielded-Q,5104,4400,0.071322222,0.061275437,0.515822198,0.621050997,0.417420003,0.011798954,46,130,0.000781250
Unshielded-Q,5104,4500,0.050211111,0.010484730,0.447256941,0.549233490,0.376842636,0.010328691,46,130,0.000781250
Unshielded-Q,5104,4600,0.050000000,0.016838327,0.499322076,0.585349550,0.427225158,0.010641419,46,130,0.000781250
