global_order,run_id,status,start_utc,end_utc,output,failure_reason
47,pi3bplus_stress_v3_fssql_r_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:48:30Z,2026-09-10T01:50:01Z,047_pi3bplus_stress_v3_fssql_r_s4108_a1,
48,pi3bplus_stress_v3_unshielded_q_s4108_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:50:01Z,2026-09-10T01:51:32Z,048_pi3bplus_stress_v3_unshielded_q_s4108_a1,
49,pi3bplus_stress_v3_unshielded_q_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:51:32Z,2026-09-10T01:53:03Z,049_pi3bplus_stress_v3_unshielded_q_s4109_a1,
50,pi3bplus_stress_v3_fssql_r_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:53:03Z,2026-09-10T01:54:34Z,050_pi3bplus_stress_v3_fssql_r_s4109_a1,
51,pi3bplus_stress_v3_round_robin_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:54:34Z,2026-09-10T01:56:05Z,051_pi3bplus_stress_v3_round_robin_s4109_a1,
52,pi3bplus_stress_v3_threshold_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:56:05Z,2026-09-10T01:57:36Z,052_pi3bplus_stress_v3_threshold_s4109_a1,
53,pi3bplus_stress_v3_safe_greedy_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:57:36Z,2026-09-10T01:59:07Z,053_pi3bplus_stress_v3_safe_greedy_s4109_a1,
54,pi3bplus_stress_v3_static_light_s4109_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T01:59:07Z,2026-09-10T02:00:37Z,054_pi3bplus_stress_v3_static_light_s4109_a1,
55,pi3bplus_stress_v3_unshielded_q_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:00:37Z,2026-09-10T02:02:08Z,055_pi3bplus_stress_v3_unshielded_q_s4110_a1,
56,pi3bplus_stress_v3_safe_greedy_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:02:08Z,2026-09-10T02:03:39Z,056_pi3bplus_stress_v3_safe_greedy_s4110_a1,
57,pi3bplus_stress_v3_fssql_r_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:03:39Z,2026-09-10T02:05:10Z,057_pi3bplus_stress_v3_fssql_r_s4110_a1,
58,pi3bplus_stress_v3_threshold_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:05:10Z,2026-09-10T02:06:41Z,058_pi3bplus_stress_v3_threshold_s4110_a1,
59,pi3bplus_stress_v3_round_robin_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:06:41Z,2026-09-10T02:08:12Z,059_pi3bplus_stress_v3_round_robin_s4110_a1,
60,pi3bplus_stress_v3_static_light_s4110_a1,FORMAL_POLICY_RUN_PASS,2026-09-10T02:08:12Z,2026-09-10T02:09:43Z,060_pi3bplus_stress_v3_static_light_s4110_a1,
