split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,173,-2.659618,0.24027777777777778
fit,fisvdd_revision,tau_residual_ms,720,174,-2.6563700000000026,0.24166666666666667
fit,fisvdd_revision,tau_residual_ms,720,175,-2.642118,0.24305555555555555
fit,fisvdd_revision,tau_residual_ms,720,176,-2.6245660000000015,0.24444444444444444
fit,fisvdd_revision,tau_residual_ms,720,177,-2.6210590000000025,0.24583333333333332
fit,fisvdd_revision,tau_residual_ms,720,178,-2.619131000000003,0.24722222222222223
fit,fisvdd_revision,tau_residual_ms,720,179,-2.6190790000000064,0.24861111111111112
fit,fisvdd_revision,tau_residual_ms,720,180,-2.605868000000001,0.25
fit,fisvdd_revision,tau_residual_ms,720,181,-2.598889,0.2513888888888889
fit,fisvdd_revision,tau_residual_ms,720,182,-2.5891850000000005,0.25277777777777777
fit,fisvdd_revision,tau_residual_ms,720,183,-2.5855560000000004,0.25416666666666665
fit,fisvdd_revision,tau_residual_ms,720,184,-2.5853820000000027,0.25555555555555554
fit,fisvdd_revision,tau_residual_ms,720,185,-2.5842540000000014,0.2569444444444444
fit,fisvdd_revision,tau_residual_ms,720,186,-2.5716079999999977,0.25833333333333336
fit,fisvdd_revision,tau_residual_ms,720,187,-2.5702790000000064,0.25972222222222224
fit,fisvdd_revision,tau_residual_ms,720,188,-2.5697229999999998,0.2611111111111111
fit,fisvdd_revision,tau_residual_ms,720,189,-2.5687680000000057,0.2625
fit,fisvdd_revision,tau_residual_ms,720,190,-2.565591000000005,0.2638888888888889
fit,fisvdd_revision,tau_residual_ms,720,191,-2.565435000000001,0.2652777777777778
fit,fisvdd_revision,tau_residual_ms,720,192,-2.548455000000004,0.26666666666666666
fit,fisvdd_revision,tau_residual_ms,720,193,-2.5407480000000007,0.26805555555555555
fit,fisvdd_revision,tau_residual_ms,720,194,-2.5389770000000027,0.26944444444444443
fit,fisvdd_revision,tau_residual_ms,720,195,-2.537622000000006,0.2708333333333333
fit,fisvdd_revision,tau_residual_ms,720,196,-2.527101000000002,0.2722222222222222
fit,fisvdd_revision,tau_residual_ms,720,197,-2.5252790000000047,0.27361111111111114
fit,fisvdd_revision,tau_residual_ms,720,198,-2.516060000000003,0.275
fit,fisvdd_revision,tau_residual_ms,720,199,-2.513091000000003,0.2763888888888889
fit,fisvdd_revision,tau_residual_ms,720,200,-2.5108000000000033,0.2777777777777778
fit,fisvdd_revision,tau_residual_ms,720,201,-2.508976000000004,0.2791666666666667
fit,fisvdd_revision,tau_residual_ms,720,202,-2.5081179999999996,0.28055555555555556
fit,fisvdd_revision,tau_residual_ms,720,203,-2.4936640000000025,0.28194444444444444
fit,fisvdd_revision,tau_residual_ms,720,204,-2.4871550000000013,0.2833333333333333
fit,fisvdd_revision,tau_residual_ms,720,205,-2.485697000000002,0.2847222222222222
fit,fisvdd_revision,tau_residual_ms,720,206,-2.4797849999999997,0.2861111111111111
fit,fisvdd_revision,tau_residual_ms,720,207,-2.471710999999999,0.2875
fit,fisvdd_revision,tau_residual_ms,720,208,-2.471491999999998,0.28888888888888886
fit,fisvdd_revision,tau_residual_ms,720,209,-2.4706609999999998,0.2902777777777778
fit,fisvdd_revision,tau_residual_ms,720,210,-2.4647739999999914,0.2916666666666667
fit,fisvdd_revision,tau_residual_ms,720,211,-2.455202,0.29305555555555557
fit,fisvdd_revision,tau_residual_ms,720,212,-2.45252,0.29444444444444445
fit,fisvdd_revision,tau_residual_ms,720,213,-2.4506689999999978,0.29583333333333334
fit,fisvdd_revision,tau_residual_ms,720,214,-2.450356999999997,0.2972222222222222
fit,fisvdd_revision,tau_residual_ms,720,215,-2.4108269999999976,0.2986111111111111
fit,fisvdd_revision,tau_residual_ms,720,216,-2.4040990000000004,0.3
fit,fisvdd_revision,tau_residual_ms,720,217,-2.403324999999999,0.3013888888888889
fit,fisvdd_revision,tau_residual_ms,720,218,-2.4004619999999974,0.30277777777777776
fit,fisvdd_revision,tau_residual_ms,720,219,-2.39968,0.30416666666666664
fit,fisvdd_revision,tau_residual_ms,720,220,-2.394786,0.3055555555555556
fit,fisvdd_revision,tau_residual_ms,720,221,-2.394212999999997,0.30694444444444446
fit,fisvdd_revision,tau_residual_ms,720,222,-2.392700999999999,0.30833333333333335
fit,fisvdd_revision,tau_residual_ms,720,223,-2.388430999999997,0.30972222222222223
fit,fisvdd_revision,tau_residual_ms,720,224,-2.3838469999999994,0.3111111111111111
fit,fisvdd_revision,tau_residual_ms,720,225,-2.382076999999999,0.3125
fit,fisvdd_revision,tau_residual_ms,720,226,-2.380501999999993,0.3138888888888889
fit,fisvdd_revision,tau_residual_ms,720,227,-2.379992999999999,0.31527777777777777
fit,fisvdd_revision,tau_residual_ms,720,228,-2.377849999999995,0.31666666666666665
fit,fisvdd_revision,tau_residual_ms,720,229,-2.374941999999997,0.31805555555555554
fit,fisvdd_revision,tau_residual_ms,720,230,-2.370930999999999,0.3194444444444444
fit,fisvdd_revision,tau_residual_ms,720,231,-2.365618999999999,0.32083333333333336
fit,fisvdd_revision,tau_residual_ms,720,232,-2.3620010000000065,0.32222222222222224
fit,fisvdd_revision,tau_residual_ms,720,233,-2.3609299999999998,0.3236111111111111
fit,fisvdd_revision,tau_residual_ms,720,234,-2.358013999999997,0.325
fit,fisvdd_revision,tau_residual_ms,720,235,-2.35567,0.3263888888888889
fit,fisvdd_revision,tau_residual_ms,720,236,-2.3540569999999974,0.3277777777777778
fit,fisvdd_revision,tau_residual_ms,720,237,-2.3489549999999895,0.32916666666666666
fit,fisvdd_revision,tau_residual_ms,720,238,-2.3368950000000055,0.33055555555555555
fit,fisvdd_revision,tau_residual_ms,720,239,-2.336027999999999,0.33194444444444443
fit,fisvdd_revision,tau_residual_ms,720,240,-2.330721999999998,0.3333333333333333
fit,fisvdd_revision,tau_residual_ms,720,241,-2.326549,0.3347222222222222
fit,fisvdd_revision,tau_residual_ms,720,242,-2.315490000000004,0.33611111111111114
fit,fisvdd_revision,tau_residual_ms,720,243,-2.314308999999998,0.3375
fit,fisvdd_revision,tau_residual_ms,720,244,-2.3054029999999983,0.3388888888888889
fit,fisvdd_revision,tau_residual_ms,720,245,-2.305254999999999,0.3402777777777778
fit,fisvdd_revision,tau_residual_ms,720,246,-2.3034590000000037,0.3416666666666667
fit,fisvdd_revision,tau_residual_ms,720,247,-2.302174000000001,0.34305555555555556
fit,fisvdd_revision,tau_residual_ms,720,248,-2.2993099999999984,0.34444444444444444
fit,fisvdd_revision,tau_residual_ms,720,249,-2.2984299999999998,0.3458333333333333
fit,fisvdd_revision,tau_residual_ms,720,250,-2.2979509999999976,0.3472222222222222
fit,fisvdd_revision,tau_residual_ms,720,251,-2.292538999999998,0.3486111111111111
fit,fisvdd_revision,tau_residual_ms,720,252,-2.2871839999999963,0.35
fit,fisvdd_revision,tau_residual_ms,720,253,-2.2833709999999883,0.35138888888888886
fit,fisvdd_revision,tau_residual_ms,720,254,-2.2795249999999996,0.3527777777777778
fit,fisvdd_revision,tau_residual_ms,720,255,-2.2746179999999896,0.3541666666666667
fit,fisvdd_revision,tau_residual_ms,720,256,-2.2743619999999964,0.35555555555555557
fit,fisvdd_revision,tau_residual_ms,720,257,-2.2706599999999924,0.35694444444444445
fit,fisvdd_revision,tau_residual_ms,720,258,-2.2663999999999973,0.35833333333333334
fit,fisvdd_revision,tau_residual_ms,720,259,-2.264994999999999,0.3597222222222222
fit,fisvdd_revision,tau_residual_ms,720,260,-2.2619149999999983,0.3611111111111111
fit,fisvdd_revision,tau_residual_ms,720,261,-2.2606119999999947,0.3625
fit,fisvdd_revision,tau_residual_ms,720,262,-2.256861999999998,0.3638888888888889
fit,fisvdd_revision,tau_residual_ms,720,263,-2.255973999999995,0.36527777777777776
fit,fisvdd_revision,tau_residual_ms,720,264,-2.2543620000000004,0.36666666666666664
fit,fisvdd_revision,tau_residual_ms,720,265,-2.247018999999998,0.3680555555555556
fit,fisvdd_revision,tau_residual_ms,720,266,-2.2438399999999916,0.36944444444444446
fit,fisvdd_revision,tau_residual_ms,720,267,-2.241861,0.37083333333333335
fit,fisvdd_revision,tau_residual_ms,720,268,-2.241552999999996,0.37222222222222223
fit,fisvdd_revision,tau_residual_ms,720,269,-2.2405079999999984,0.3736111111111111
fit,fisvdd_revision,tau_residual_ms,720,270,-2.2389810000000026,0.375
fit,fisvdd_revision,tau_residual_ms,720,271,-2.2374349999999907,0.3763888888888889
fit,fisvdd_revision,tau_residual_ms,720,272,-2.2276950000000006,0.37777777777777777
fit,fisvdd_revision,tau_residual_ms,720,273,-2.211393000000001,0.37916666666666665
fit,fisvdd_revision,tau_residual_ms,720,274,-2.2107670000000006,0.38055555555555554
fit,fisvdd_revision,tau_residual_ms,720,275,-2.209578999999998,0.3819444444444444
fit,fisvdd_revision,tau_residual_ms,720,276,-2.2093109999999996,0.38333333333333336
fit,fisvdd_revision,tau_residual_ms,720,277,-2.208119,0.38472222222222224
fit,fisvdd_revision,tau_residual_ms,720,278,-2.2065469999999863,0.3861111111111111
fit,fisvdd_revision,tau_residual_ms,720,279,-2.2034809999999965,0.3875
fit,fisvdd_revision,tau_residual_ms,720,280,-2.1937349999999896,0.3888888888888889
fit,fisvdd_revision,tau_residual_ms,720,281,-2.189294000000004,0.3902777777777778
fit,fisvdd_revision,tau_residual_ms,720,282,-2.1883729999999986,0.39166666666666666
fit,fisvdd_revision,tau_residual_ms,720,283,-2.1859769999999976,0.39305555555555555
fit,fisvdd_revision,tau_residual_ms,720,284,-2.1853589999999983,0.39444444444444443
fit,fisvdd_revision,tau_residual_ms,720,285,-2.181131999999991,0.3958333333333333
fit,fisvdd_revision,tau_residual_ms,720,286,-2.1772269999999985,0.3972222222222222
fit,fisvdd_revision,tau_residual_ms,720,287,-2.175660999999991,0.39861111111111114
fit,fisvdd_revision,tau_residual_ms,720,288,-2.1745699999999992,0.4
fit,fisvdd_revision,tau_residual_ms,720,289,-2.1727989999999977,0.4013888888888889
fit,fisvdd_revision,tau_residual_ms,720,290,-2.165610000000001,0.4027777777777778
fit,fisvdd_revision,tau_residual_ms,720,291,-2.1600900000000003,0.4041666666666667
fit,fisvdd_revision,tau_residual_ms,720,292,-2.1599939999999975,0.40555555555555556
fit,fisvdd_revision,tau_residual_ms,720,293,-2.159935000000001,0.40694444444444444
fit,fisvdd_revision,tau_residual_ms,720,294,-2.157745999999989,0.4083333333333333
fit,fisvdd_revision,tau_residual_ms,720,295,-2.1525919999999985,0.4097222222222222
fit,fisvdd_revision,tau_residual_ms,720,296,-2.149100999999998,0.4111111111111111
fit,fisvdd_revision,tau_residual_ms,720,297,-2.1422120000000007,0.4125
fit,fisvdd_revision,tau_residual_ms,720,298,-2.138842999999998,0.41388888888888886
fit,fisvdd_revision,tau_residual_ms,720,299,-2.137591999999998,0.4152777777777778
fit,fisvdd_revision,tau_residual_ms,720,300,-2.1364949999999965,0.4166666666666667
fit,fisvdd_revision,tau_residual_ms,720,301,-2.133826000000006,0.41805555555555557
fit,fisvdd_revision,tau_residual_ms,720,302,-2.133737,0.41944444444444445
fit,fisvdd_revision,tau_residual_ms,720,303,-2.1286310000000004,0.42083333333333334
fit,fisvdd_revision,tau_residual_ms,720,304,-2.128006000000001,0.4222222222222222
fit,fisvdd_revision,tau_residual_ms,720,305,-2.1270170000000004,0.4236111111111111
fit,fisvdd_revision,tau_residual_ms,720,306,-2.1235280000000003,0.425
fit,fisvdd_revision,tau_residual_ms,720,307,-2.1222770000000004,0.4263888888888889
fit,fisvdd_revision,tau_residual_ms,720,308,-2.1208729999999996,0.42777777777777776
fit,fisvdd_revision,tau_residual_ms,720,309,-2.1180440000000047,0.42916666666666664
fit,fisvdd_revision,tau_residual_ms,720,310,-2.117642,0.4305555555555556
fit,fisvdd_revision,tau_residual_ms,720,311,-2.1162360000000007,0.43194444444444446
fit,fisvdd_revision,tau_residual_ms,720,312,-2.114888999999998,0.43333333333333335
fit,fisvdd_revision,tau_residual_ms,720,313,-2.1132150000000003,0.43472222222222223
fit,fisvdd_revision,tau_residual_ms,720,314,-2.113111999999987,0.4361111111111111
fit,fisvdd_revision,tau_residual_ms,720,315,-2.1113420000000005,0.4375
fit,fisvdd_revision,tau_residual_ms,720,316,-2.1101290000000006,0.4388888888888889
fit,fisvdd_revision,tau_residual_ms,720,317,-2.1061840000000007,0.44027777777777777
fit,fisvdd_revision,tau_residual_ms,720,318,-2.105194000000001,0.44166666666666665
fit,fisvdd_revision,tau_residual_ms,720,319,-2.104050000000001,0.44305555555555554
fit,fisvdd_revision,tau_residual_ms,720,320,-2.1034229999999923,0.4444444444444444
fit,fisvdd_revision,tau_residual_ms,720,321,-2.101655000000001,0.44583333333333336
fit,fisvdd_revision,tau_residual_ms,720,322,-2.095559999999992,0.44722222222222224
fit,fisvdd_revision,tau_residual_ms,720,323,-2.0926969999999976,0.4486111111111111
fit,fisvdd_revision,tau_residual_ms,720,324,-2.09108,0.45
fit,fisvdd_revision,tau_residual_ms,720,325,-2.090868999999998,0.4513888888888889
fit,fisvdd_revision,tau_residual_ms,720,326,-2.0892050000000015,0.4527777777777778
fit,fisvdd_revision,tau_residual_ms,720,327,-2.085298,0.45416666666666666
