device_id,split,action,workload_bin,background,obs_id,tau_measured_ms,tau_hat_ms,tau_residual_ms,tau_upper_ms,latency_covered,T_next_measured_C,T_next_hat_C,T_residual_C,T_upper_C,thermal_covered,joint_covered
pi3bplus,coverage,lucid_revision,n512,B0,1349,324.099485,340.365647,-16.26616200000001,372.003553,True,35.4,35.7292965002025,-0.3292965002025028,37.331131102880754,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1350,324.903797,340.365647,-15.461850000000027,372.003553,True,35.938,35.27208140951797,0.6659185904820291,36.873916012196226,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1351,325.694672,340.365647,-14.670974999999999,372.003553,True,35.4,35.2725827512727,0.12741724872729776,36.87441735395095,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1352,325.329573,340.365647,-15.036074000000042,372.003553,True,35.4,35.27235131220419,0.12764868779581207,36.87418591488244,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1353,324.79755,340.365647,-15.568097000000023,372.003553,True,36.476,35.27201405872624,1.203985941273757,36.873848661404494,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1354,324.125793,340.365647,-16.239854000000037,372.003553,True,35.4,35.2715882267893,0.12841177321070063,36.87342282946755,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1355,323.514084,340.365647,-16.851563,372.003553,True,35.4,35.72892540999918,-0.3289254099991794,37.33076001267743,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1356,324.846667,340.365647,-15.518979999999999,372.003553,True,35.4,35.729770144627956,-0.3297701446279575,37.33160474730621,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1357,323.501274,340.365647,-16.864373,372.003553,True,35.4,35.728917289641494,-0.32891728964149536,37.330751892319746,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1358,324.213503,340.365647,-16.15214400000002,372.003553,True,35.938,35.27164382683394,0.666356173166065,36.87347842951219,True,True
pi3bplus,coverage,lucid_revision,n512,B0,1359,323.959601,340.365647,-16.406046000000003,372.003553,True,35.4,35.2714828764003,0.1285171235996998,36.87331747907855,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1360,44.451341,50.274459,-5.823118000000001,81.912365,True,34.862,34.610926388194144,0.2510736118058574,36.2127609908724,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1361,44.24525,50.274459,-6.029209000000002,81.912365,True,34.862,35.06852069577874,-0.20652069577873533,36.67035529845699,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1362,44.202855,50.274459,-6.071604000000001,81.912365,True,34.862,34.610768871004616,0.2512311289953857,36.21260347368287,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1363,44.385248,50.274459,-5.889211000000003,81.912365,True,35.4,34.15315954107527,1.24684045892473,35.75499414375352,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1364,44.264416,50.274459,-6.010043000000003,81.912365,True,35.4,34.61080789499673,0.7891921050032664,36.212642497674985,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1365,44.175199,50.274459,-6.099260000000001,81.912365,True,34.862,34.610751339653184,0.2512486603468176,36.21258594233144,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1366,44.303844,50.274459,-5.970615000000002,81.912365,True,34.862,34.1531079384526,0.7088920615474024,35.75494254113085,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1367,44.245042,50.274459,-6.029417000000002,81.912365,True,34.862,34.61079561366889,0.25120438633111064,36.212630216347144,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1368,44.186346,50.274459,-6.088113,81.912365,True,34.862,34.15303345556529,0.7089665444347091,35.754868058243545,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1369,44.237386,50.274459,-6.0370729999999995,81.912365,True,34.324,34.153065810214464,0.17093418978553387,35.75490041289272,True,True
pi3bplus,coverage,lucid_revision,n64,B0,1370,44.311448,50.274459,-5.963011000000002,81.912365,True,34.324,34.610837708943826,-0.2868377089438283,36.21267231162208,True,True
