timestamp_utc,temperature_c,throttled
2026-09-10T13:08:23Z,37.485,0x0
2026-09-10T13:08:24Z,38.459,0x0
2026-09-10T13:08:25Z,38.459,0x0
2026-09-10T13:08:26Z,38.946,0x0
2026-09-10T13:08:27Z,40.407,0x0
2026-09-10T13:08:28Z,38.459,0x0
2026-09-10T13:08:29Z,40.407,0x0
2026-09-10T13:08:30Z,39.92,0x0
2026-09-10T13:08:31Z,39.92,0x0
2026-09-10T13:08:32Z,38.459,0x0
2026-09-10T13:08:33Z,38.459,0x0
2026-09-10T13:08:34Z,38.946,0x0
2026-09-10T13:08:35Z,38.459,0x0
2026-09-10T13:08:36Z,37.485,0x0
2026-09-10T13:08:37Z,36.998,0x0
2026-09-10T13:08:38Z,36.511,0x0
2026-09-10T13:08:39Z,36.024,0x0
2026-09-10T13:08:40Z,36.511,0x0
2026-09-10T13:08:41Z,37.972,0x0
2026-09-10T13:08:42Z,37.972,0x0
2026-09-10T13:08:43Z,37.972,0x0
2026-09-10T13:08:44Z,37.485,0x0
2026-09-10T13:08:45Z,36.998,0x0
2026-09-10T13:08:46Z,37.972,0x0
2026-09-10T13:08:47Z,36.998,0x0
2026-09-10T13:08:48Z,36.998,0x0
2026-09-10T13:08:49Z,37.485,0x0
2026-09-10T13:08:50Z,37.972,0x0
2026-09-10T13:08:51Z,38.946,0x0
2026-09-10T13:08:52Z,37.485,0x0
2026-09-10T13:08:53Z,36.998,0x0
2026-09-10T13:08:54Z,36.998,0x0
2026-09-10T13:08:55Z,36.998,0x0
2026-09-10T13:08:56Z,36.511,0x0
2026-09-10T13:08:57Z,36.511,0x0
2026-09-10T13:08:58Z,36.511,0x0
2026-09-10T13:08:59Z,37.485,0x0
2026-09-10T13:09:00Z,37.485,0x0
2026-09-10T13:09:01Z,37.972,0x0
2026-09-10T13:09:02Z,36.024,0x0
2026-09-10T13:09:03Z,37.972,0x0
2026-09-10T13:09:04Z,37.972,0x0
2026-09-10T13:09:05Z,38.946,0x0
2026-09-10T13:09:06Z,38.459,0x0
2026-09-10T13:09:07Z,37.485,0x0
2026-09-10T13:09:08Z,38.946,0x0
