split,action,metric,n,rank,value,ecdf
fit,fisvdd_revision,tau_residual_ms,720,220,-1.5255129999999966,0.3055555555555556
fit,fisvdd_revision,tau_residual_ms,720,221,-1.5218799999999995,0.30694444444444446
fit,fisvdd_revision,tau_residual_ms,720,222,-1.5166759999999986,0.30833333333333335
fit,fisvdd_revision,tau_residual_ms,720,223,-1.5126419999999996,0.30972222222222223
fit,fisvdd_revision,tau_residual_ms,720,224,-1.511382999999995,0.3111111111111111
fit,fisvdd_revision,tau_residual_ms,720,225,-1.507676,0.3125
fit,fisvdd_revision,tau_residual_ms,720,226,-1.498156999999999,0.3138888888888889
fit,fisvdd_revision,tau_residual_ms,720,227,-1.4975649999999998,0.31527777777777777
fit,fisvdd_revision,tau_residual_ms,720,228,-1.4971389999999989,0.31666666666666665
fit,fisvdd_revision,tau_residual_ms,720,229,-1.4957319999999985,0.31805555555555554
fit,fisvdd_revision,tau_residual_ms,720,230,-1.4905659999999994,0.3194444444444444
fit,fisvdd_revision,tau_residual_ms,720,231,-1.4876579999999997,0.32083333333333336
fit,fisvdd_revision,tau_residual_ms,720,232,-1.4816950000000002,0.32222222222222224
fit,fisvdd_revision,tau_residual_ms,720,233,-1.4774729999999998,0.3236111111111111
fit,fisvdd_revision,tau_residual_ms,720,234,-1.4740289999999998,0.325
fit,fisvdd_revision,tau_residual_ms,720,235,-1.470991999999999,0.3263888888888889
fit,fisvdd_revision,tau_residual_ms,720,236,-1.4707689999999989,0.3277777777777778
fit,fisvdd_revision,tau_residual_ms,720,237,-1.4698429999999991,0.32916666666666666
fit,fisvdd_revision,tau_residual_ms,720,238,-1.468824999999999,0.33055555555555555
fit,fisvdd_revision,tau_residual_ms,720,239,-1.4672509999999992,0.33194444444444443
fit,fisvdd_revision,tau_residual_ms,720,240,-1.46664,0.3333333333333333
fit,fisvdd_revision,tau_residual_ms,720,241,-1.4657879999999999,0.3347222222222222
fit,fisvdd_revision,tau_residual_ms,720,242,-1.4649549999999962,0.33611111111111114
fit,fisvdd_revision,tau_residual_ms,720,243,-1.4622139999999995,0.3375
fit,fisvdd_revision,tau_residual_ms,720,244,-1.459899,0.3388888888888889
fit,fisvdd_revision,tau_residual_ms,720,245,-1.454307,0.3402777777777778
fit,fisvdd_revision,tau_residual_ms,720,246,-1.4522329999999997,0.3416666666666667
fit,fisvdd_revision,tau_residual_ms,720,247,-1.4497330000000002,0.34305555555555556
fit,fisvdd_revision,tau_residual_ms,720,248,-1.4494359999999986,0.34444444444444444
fit,fisvdd_revision,tau_residual_ms,720,249,-1.441789,0.3458333333333333
fit,fisvdd_revision,tau_residual_ms,720,250,-1.440066999999999,0.3472222222222222
fit,fisvdd_revision,tau_residual_ms,720,251,-1.4372539999999958,0.3486111111111111
fit,fisvdd_revision,tau_residual_ms,720,252,-1.4222329999999985,0.35
fit,fisvdd_revision,tau_residual_ms,720,253,-1.414603999999997,0.35138888888888886
fit,fisvdd_revision,tau_residual_ms,720,254,-1.3984189999999987,0.3527777777777778
fit,fisvdd_revision,tau_residual_ms,720,255,-1.3957149999999992,0.3541666666666667
fit,fisvdd_revision,tau_residual_ms,720,256,-1.3815119999999972,0.35555555555555557
fit,fisvdd_revision,tau_residual_ms,720,257,-1.376066999999999,0.35694444444444445
fit,fisvdd_revision,tau_residual_ms,720,258,-1.3722529999999988,0.35833333333333334
fit,fisvdd_revision,tau_residual_ms,720,259,-1.3716039999999978,0.3597222222222222
fit,fisvdd_revision,tau_residual_ms,720,260,-1.3664930000000002,0.3611111111111111
fit,fisvdd_revision,tau_residual_ms,720,261,-1.3600119999999993,0.3625
fit,fisvdd_revision,tau_residual_ms,720,262,-1.347104999999999,0.3638888888888889
fit,fisvdd_revision,tau_residual_ms,720,263,-1.336475,0.36527777777777776
fit,fisvdd_revision,tau_residual_ms,720,264,-1.3159759999999991,0.36666666666666664
fit,fisvdd_revision,tau_residual_ms,720,265,-1.3157899999999998,0.3680555555555556
fit,fisvdd_revision,tau_residual_ms,720,266,-1.305382999999999,0.36944444444444446
fit,fisvdd_revision,tau_residual_ms,720,267,-1.3001059999999995,0.37083333333333335
fit,fisvdd_revision,tau_residual_ms,720,268,-1.2989749999999987,0.37222222222222223
fit,fisvdd_revision,tau_residual_ms,720,269,-1.28979,0.3736111111111111
fit,fisvdd_revision,tau_residual_ms,720,270,-1.285141999999997,0.375
fit,fisvdd_revision,tau_residual_ms,720,271,-1.282235,0.3763888888888889
fit,fisvdd_revision,tau_residual_ms,720,272,-1.282072999999997,0.37777777777777777
fit,fisvdd_revision,tau_residual_ms,720,273,-1.2737909999999992,0.37916666666666665
fit,fisvdd_revision,tau_residual_ms,720,274,-1.258272999999999,0.38055555555555554
fit,fisvdd_revision,tau_residual_ms,720,275,-1.255865,0.3819444444444444
fit,fisvdd_revision,tau_residual_ms,720,276,-1.2545869999999972,0.38333333333333336
fit,fisvdd_revision,tau_residual_ms,720,277,-1.253143999999999,0.38472222222222224
